id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing
52,-3.850815,52.620076,W01000060,60,2016-01-15,3,1,1,6,60,8,0,0
53,-3.409239,53.19056,W01000196,60,2016-01-15,3,1,1,6,30,3,0,0
54,-3.812886,53.284757,W01000166,60,2016-01-15,2,2,1,6,30,2,0,0
55,-4.021303,52.706618,W01000085,60,2016-01-17,3,2,1,6,60,1,0,0
56,-3.468138,53.290373,W01000225,60,2016-01-17,3,2,1,6,30,1,0,0
57,-4.17821,53.202265,W01000103,60,2016-01-17,2,2,3,6,60,1,0,0
58,-3.488687,53.319577,W01000240,60,2016-01-17,3,1,1,2,30,1,0,0
59,-3.473816,53.287525,W01000225,60,2016-01-18,3,2,1,1,40,1,0,0
60,-3.598688,52.910351,W01000051,60,2016-01-18,3,1,1,6,30,1,0,0
61,-2.981756,53.058388,W01000341,60,2016-01-18,3,2,1,6,30,9,0,0
62,-3.124615,53.164892,W01000250,60,2016-01-19,3,2,1,1,30,1,0,0
63,-3.090536,53.210156,W01000277,60,2016-01-19,3,1,1,6,50,1,0,0
64,-2.982145,53.169873,W01000255,60,2016-01-19,3,2,1,6,30,1,0,0
65,-3.472865,53.319171,W01000231,60,2016-01-19,3,1,1,6,30,1,0,0
66,-3.589966,53.292478,W01000179,60,2016-01-19,3,5,2,3,70,1,0,0
67,-3.310998,53.259481,W01000271,60,2016-01-19,3,2,2,6,60,8,0,0
68,-2.93833,53.060213,W01000383,60,2016-01-19,3,2,1,1,60,1,0,0
69,-3.051716,53.004787,W01000405,60,2016-01-20,3,2,1,6,20,1,0,0
70,-3.013686,53.197378,W01000312,60,2016-01-20,3,1,1,6,30,1,0,0
71,-2.99176,53.054745,W01000371,60,2016-05-28,3,1,1,6,30,1,0,0
72,-3.436573,53.313654,W01000201,60,2016-01-20,3,2,1,6,60,1,0,0
73,-3.054274,53.190877,W01000285,60,2016-01-20,2,2,1,3,70,1,0,0
74,-2.999006,53.040355,W01000402,60,2016-01-20,3,2,2,6,30,8,0,0
75,-2.742588,52.964023,W01000346,60,2016-01-22,3,2,1,6,60,1,0,0
76,-2.960781,53.106159,W01000418,60,2016-01-22,2,2,2,6,40,1,0,0
77,-3.467911,53.305622,W01000223,60,2016-01-23,3,2,1,1,30,1,0,0
78,-3.594692,53.207838,W01000122,60,2016-01-23,3,1,1,6,60,1,0,0
79,-3.136025,53.246274,W01000288,60,2016-01-23,3,1,1,6,30,8,0,0
80,-3.209098,53.254131,W01000258,60,2016-01-25,3,2,3,3,70,1,0,0
81,-4.121363,53.117815,W01000081,60,2016-01-23,3,2,1,6,30,1,0,0
82,-3.788479,53.320322,W01000133,60,2016-01-25,2,1,1,6,30,2,0,0
83,-3.994733,53.248553,W01000123,60,2016-01-25,2,4,1,3,70,1,0,0
84,-3.445219,53.23986,W01000247,60,2016-01-26,3,1,1,6,60,5,0,0
85,-2.97348,53.061243,W01000343,60,2016-01-26,3,2,2,6,30,5,0,0
86,-3.470534,53.323866,W01000227,60,2016-01-27,3,3,1,6,30,5,0,0
87,-2.966034,53.188568,W01000329,60,2016-01-28,3,2,1,6,60,1,0,0
88,-3.276492,53.064069,W01000207,60,2016-01-28,2,2,2,6,60,1,7,0
89,-3.305954,53.273525,W01000340,60,2016-01-28,3,2,1,6,30,2,0,0
90,-2.982468,53.168307,W01000255,60,2016-01-28,3,3,1,6,30,1,0,0
91,-3.129433,53.242947,W01000292,60,2016-01-29,3,2,2,6,30,4,0,0
92,-3.06978,53.09099,W01000310,60,2016-01-29,3,1,1,6,30,4,0,0
93,-3.413624,53.185986,W01000194,60,2016-01-29,3,3,1,6,30,4,0,0
94,-3.045816,53.009774,W01000410,60,2016-01-29,3,1,1,6,30,1,0,0
95,-3.022256,53.051593,W01000400,60,2016-01-29,2,2,6,6,30,4,0,0
96,-3.381608,53.256167,W01000248,60,2016-01-30,3,1,1,6,60,1,0,0
97,-3.413818,53.215524,W01000197,60,2016-01-30,3,2,1,6,60,1,0,0
98,-3.1118,53.166217,W01000250,60,2016-01-30,3,1,1,6,30,1,0,0
99,-3.05101,53.215285,W01000283,60,2016-01-31,3,2,3,6,30,1,0,0
100,-2.934522,53.177214,W01000329,60,2016-01-31,3,2,2,6,30,1,1,0
101,-3.4929,53.315947,W01000240,60,2016-01-31,3,2,1,6,20,1,0,0
102,-2.934492,53.177224,W01000329,60,2016-02-01,3,2,1,6,30,1,0,0
103,-2.983739,53.055675,W01000393,60,2016-01-23,3,2,2,1,30,2,0,0
104,-3.412843,53.186364,W01000194,60,2016-02-02,3,2,1,6,30,1,0,0
105,-3.006756,53.161649,W01000256,60,2016-02-02,3,2,2,1,30,1,0,0
106,-4.306751,53.259195,W01000041,60,2016-02-02,3,2,1,6,30,1,0,0
107,-3.726983,53.294699,W01000144,60,2016-02-02,3,2,1,6,30,2,0,0
108,-3.310452,53.114447,W01000242,60,2016-02-03,2,1,1,6,30,2,0,0
109,-3.40938,53.338915,W01000214,60,2016-02-03,3,2,1,6,30,1,0,0
110,-3.742333,53.299124,W01000183,60,2016-02-04,3,1,1,6,30,1,0,0
111,-3.75519,53.158769,W01000137,60,2016-02-05,3,1,1,6,60,5,0,0
112,-4.044583,52.69827,W01000085,60,2016-02-05,3,1,2,6,60,1,0,0
113,-2.999371,53.082559,W01000391,60,2016-02-06,2,1,6,6,50,1,0,0
114,-4.134319,53.227209,W01000092,60,2016-02-06,2,1,1,6,30,1,0,0
115,-4.246172,53.192156,W01000027,60,2016-02-06,3,1,1,6,60,5,5,0
116,-2.984246,53.039319,W01000382,60,2016-02-05,2,1,1,6,30,2,0,0
117,-3.049909,53.216203,W01000283,60,2016-02-06,3,2,2,6,30,1,0,0
118,-2.967539,53.03586,W01000423,60,2016-02-07,3,1,1,6,30,1,0,0
119,-3.885079,53.051774,W01000121,60,2016-02-08,3,1,1,6,30,5,0,0
120,-3.993747,53.249594,W01000123,60,2016-02-08,3,2,2,3,70,5,4,0
121,-3.271568,53.281654,W01000340,60,2016-02-08,3,2,1,6,50,5,0,0
122,-3.069445,53.187011,W01000286,60,2016-02-08,3,2,2,6,30,2,0,0
123,-2.733159,52.965547,W01000346,60,2016-02-08,3,2,1,6,60,5,5,0
124,-3.366,53.33791,W01000298,60,2016-02-08,2,2,1,6,30,2,0,0
125,-2.989978,53.101344,W01000390,60,2016-10-19,3,2,2,6,60,1,0,0
126,-3.018905,53.044223,W01000349,60,2016-02-09,3,2,3,6,30,1,0,0
127,-4.26108,53.135221,W01000098,60,2016-02-09,2,1,1,6,30,5,0,0
128,-3.8192,53.317188,W01000186,60,2016-02-09,3,2,1,1,30,1,0,0
