id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing,geom
45,-3.332633,53.003993,W01000207,60,2016-01-13,3,3,1,6,50,2,0,0,0101000020346C00004C377B453EF612417D65A50C851E1541
46,-3.91137,52.66648,W01001933,60,2016-01-13,3,1,2,6,60,6,0,0,0101000020346C0000167D2062E2871041F7D8DBB1AEE11241
47,-3.056716,53.008743,W01000405,60,2016-01-14,3,2,1,1,30,1,0,0,0101000020346C0000B1B197E4A7171441F0DD5ED9F4211541
48,-4.626772,53.304533,W01000029,60,2016-01-14,2,1,2,6,30,2,0,0,0101000020346C000091F4EA4C67790B41B2C278803D4E1741
49,-4.126553,53.228921,W01000076,60,2016-01-14,3,2,1,6,30,1,0,0,0101000020346C00008626B49604830F4117744EFC7FB91641
50,-3.105394,53.149771,W01000309,60,2016-01-14,3,2,1,6,60,8,0,0,0101000020346C0000BC1B38D367E81341D9784B11DA171641
51,-2.897971,52.99873,W01000345,60,2016-01-15,2,1,2,6,40,2,0,0,0101000020346C000018366AC9DCBD1441F75F9BBA480E1541
52,-3.850815,52.620076,W01000060,60,2016-01-15,3,1,1,6,60,8,0,0,0101000020346C0000DAA172A6CAC510413C9662255E8F1241
53,-3.409239,53.19056,W01000196,60,2016-01-15,3,1,1,6,30,3,0,0,0101000020346C000018F2444C4EAC12410170492053641641
54,-3.812886,53.284757,W01000166,60,2016-01-15,2,2,1,6,30,2,0,0,0101000020346C0000482E4024180B11414A144E1A88111741
55,-4.021303,52.706618,W01000085,60,2016-01-17,3,2,1,6,60,1,0,0,0101000020346C0000D25CD5F1B1151041AB41B4359B2A1341
56,-3.468138,53.290373,W01000225,60,2016-01-17,3,2,1,6,30,1,0,0,0101000020346C0000984958156272124162B77D2C0C131741
57,-4.17821,53.202265,W01000103,60,2016-01-17,2,2,3,6,60,1,0,0,0101000020346C00000103AAD073140F41A91C1AD3CB8C1641
58,-3.488687,53.319577,W01000240,60,2016-01-17,3,1,1,2,30,1,0,0,0101000020346C00008455B5250A5E124109F7C82B40461741
59,-3.473816,53.287525,W01000225,60,2016-01-18,3,2,1,1,40,1,0,0,0101000020346C00004B1CC6125E6C124138601719380E1741
60,-3.598688,52.910351,W01000051,60,2016-01-18,3,1,1,6,30,1,0,0,0101000020346C0000B6E7D9B1ACDB114112881A7878811441
61,-2.981756,53.058388,W01000341,60,2016-01-18,3,2,1,6,30,9,0,0,0101000020346C0000E8E00D756C67144112D5442B21771541
62,-3.124615,53.164892,W01000250,60,2016-01-19,3,2,1,1,30,1,0,0,0101000020346C000062FE2CD5BBD41341FEEBBE8672321641
63,-3.090536,53.210156,W01000277,60,2016-01-19,3,1,1,6,50,1,0,0,0101000020346C00006B65DCF987F91341C60E0BAD92801641
64,-2.982145,53.169873,W01000255,60,2016-01-19,3,2,1,6,30,1,0,0,0101000020346C000017805890AC6914411221B323EA381641
65,-3.472865,53.319171,W01000231,60,2016-01-19,3,1,1,6,30,1,0,0,0101000020346C000023D558FF7D6E1241BECD531B34451741
66,-3.589966,53.292478,W01000179,60,2016-01-19,3,5,2,3,70,1,0,0,0101000020346C00001FDF7F6895F311411C608A006C191741
67,-3.310998,53.259481,W01000271,60,2016-01-19,3,2,2,6,60,8,0,0,0101000020346C00002623B9F60E151341071507542BDA1641
68,-2.93833,53.060213,W01000383,60,2016-01-19,3,2,1,1,60,1,0,0,0101000020346C00002C0EF596F0941441616A4F46B1791541
69,-3.051716,53.004787,W01000405,60,2016-01-20,3,2,1,6,20,1,0,0,0101000020346C000026F66CFDCB1C1441A19AE6DB001B1541
70,-3.013686,53.197378,W01000312,60,2016-01-20,3,1,1,6,30,1,0,0,0101000020346C00008761F9706849144150A5FDC52E691641
71,-2.99176,53.054745,W01000371,60,2016-05-28,3,1,1,6,30,1,0,0,0101000020346C000070AAAF30DC5C1441B9C20E16F1701541
72,-3.436573,53.313654,W01000201,60,2016-01-20,3,2,1,6,60,1,0,0,0101000020346C00007C5CBD4B129412414A1C3245D83A1741
73,-3.054274,53.190877,W01000285,60,2016-01-20,2,2,1,3,70,1,0,0,0101000020346C0000DE7DEC3BE01E1441FE2BC9C57E5E1641
74,-2.999006,53.040355,W01000402,60,2016-01-20,3,2,2,6,30,8,0,0,0101000020346C0000E74A4C4CEC541441CB07700509581541
75,-2.742588,52.964023,W01000346,60,2016-01-22,3,2,1,6,60,1,0,0,0101000020346C0000E85D076E2D60154123C5D81918D01441
76,-2.960781,53.106159,W01000418,60,2016-01-22,2,2,2,6,40,1,0,0,0101000020346C00002297B471807E144171028992DDC91541
77,-3.467911,53.305622,W01000223,60,2016-01-23,3,2,1,1,30,1,0,0,0101000020346C0000702FFE082A7312412B09D9238C2D1741
78,-3.594692,53.207838,W01000122,60,2016-01-23,3,1,1,6,60,1,0,0,0101000020346C00005426E83861EB1141545D5C816B861641
79,-3.136025,53.246274,W01000288,60,2016-01-23,3,1,1,6,30,8,0,0,0101000020346C000039FB12D90FCB134134F7745917C01641
80,-3.209098,53.254131,W01000258,60,2016-01-25,3,2,3,3,70,1,0,0,0101000020346C00007E49198A1B7F1341A78FBD65FFCE1641
81,-4.121363,53.117815,W01000081,60,2016-01-23,3,2,1,6,30,1,0,0,0101000020346C0000D454C61D64820F41F77AC3EB3EF81541
82,-3.788479,53.320322,W01000133,60,2016-01-25,2,1,1,6,30,2,0,0,0101000020346C0000E4BC4F521026114196299066B44E1741
