"id","geom","school_cod","sch_name","lea_name_e","school_ty0","gender_mix","school_lan","status_nam","address_1","address_2","address_3","postcode","full_detai"
195,"0101000020346C0000CBE4F1E6C85E13416425393BE8C70541","6814054","Cathays High School","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Crown Way","New Zealand Road","Cathays","CF14 3XG","http://mylocalschool.wales.gov.uk/School/6814054"
196,"0101000020346C0000CD338AD528231341985CC35ED6ED0541","6814070","Radyr Comprehensive School","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Heol Isaf","Radyr","Cardiff","CF15 8XG","http://mylocalschool.wales.gov.uk/School/6814070"
197,"0101000020346C0000F6D1B774863913417280B3D083D10541","6814071","Ysgol Gyfun Gymraeg Glantaf","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","Welsh medium","Open","Heol Y Bont","Gogledd Llandaf","Caerdydd","CF14 2JL","http://mylocalschool.wales.gov.uk/School/6814071"
198,"0101000020346C0000228EB6D9BE2313414C4E5409DCC30541","6814072","Ysgol Gyfun Gymraeg Plasmawr","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","Welsh medium","Open","Pentrebane Road","Tyllgoed","Caerdydd","CF5 3PZ","http://mylocalschool.wales.gov.uk/School/6814072"
199,"0101000020346C00009F3EB05D2B081341BE0E2D2756700541","6814073","Michaelston Community College","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Closed","Michaelston Road","Ely","Cardiff","CF5 4SX","http://mylocalschool.wales.gov.uk/School/6814073"
200,"0101000020346C00009BAC182A07861341C67F3805AEDB0541","6814074","Ysgol Gyfun Gymraeg Bro Edern","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","Welsh medium","Open","Llanedeyrn Road","Pen-y-lan","Caerdydd","CF23 9DT","http://mylocalschool.wales.gov.uk/School/6814074"
201,"0101000020346C00004DE32B5B04B81341AAB88710E3F70541","6814076","Eastern High","Cardiff","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Eastern Community Campus","Trowbridge Road","null","CF3 1XZ","http://mylocalschool.wales.gov.uk/School/6814076"
202,"0101000020346C0000DB65BE7306B31341040F962117070641","6814600","St. Illtyd's Catholic High School","Cardiff","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Newport Road","Rumney","Cardiff","CF3 1XQ","http://mylocalschool.wales.gov.uk/School/6814600"
203,"0101000020346C0000DE13B8459915134164392AE200510541","6814607","Mary Immaculate High School","Cardiff","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Caerau Lane","Wenvoe","Cardiff","CF5 5QZ","http://mylocalschool.wales.gov.uk/School/6814607"
204,"0101000020346C00008E36AD94063413416239D726CEC00541","6814608","Bishop Of Llandaff Church In Wales High School","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Rookwood Close","Llandaff","Cardiff","CF5 2NR","http://mylocalschool.wales.gov.uk/School/6814608"
205,"0101000020346C0000EECFC9348F8C13410CDF0A3DC2ED0541","6814609","St Teilo's C-In-W High School","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Circle Way East","Cardiff","null","CF23 9PD","http://mylocalschool.wales.gov.uk/School/6814609"
206,"0101000020346C0000D9487EF642811341FA39AFC938400641","6814611","Corpus Christi Catholic High School","Cardiff","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Ty Draw Road","Lisvane","Cardiff","CF23 6XL","http://mylocalschool.wales.gov.uk/School/6814611"
207,"0101000020346C000062EB2BB13E3D13412881CAA52EFC0541","6815403","Whitchurch High School","Cardiff","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Penlline Road","Whitchurch","Cardiff","CF14 2XJ","http://mylocalschool.wales.gov.uk/School/6815403"
